"NAME OF THE"
"NAME OF THE                                            NAME OF THE PRIMARY"
"S. NO                        HEALTH UNIT    NAME OF THE BLOCK"
"REVENUE DISTRICT                                           HEALTH CENTRE"
"DISTRICT"
"74     SALEM              SALEM            SANKARI               ARASIRKAMANI"
"75     SALEM              SALEM            SANKARI               THEVUR"
"76     SALEM              SALEM            SANKARI               CHINNAGOUNDANUR"
"77     SALEM              SALEM            EDAPADI               CHITHOOR"
"78     SALEM              SALEM            EDAPADI               CHETTIMANKURICHI"
"79     SALEM              SALEM            NANGAVALLI            NANGAVALLI"
"80     SALEM              SALEM            NANGAVALLI            KOMBURANKADU"
"81     SALEM              SALEM            NANGAVALLI            SANTHAITHANAPATTI"
"82     SALEM              SALEM            KOLATHUR              KOLATHUR"
"83     SALEM              SALEM            KOLATHUR              SATHIYANAGAR"
"84     SALEM              SALEM            MECHERI               MECHERI"
"85     SALEM              SALEM            MECHERI               KUTTAPATTI"
"86     SALEM              SALEM            MECHERI               VELLAR"
"                              NAME OF THE"
"NAME OF THE                                               NAME OF THE PRIMARY"
"S. NO                         HEALTH UNIT    NAME OF THE BLOCK"
"REVENUE DISTRICT                                              HEALTH CENTRE"
"DISTRICT"
"87     SALEM              SALEM            KADAYAMPATTI           KADAYAMPATTI"
"88     SALEM              SALEM            KADAYAMPATTI           K.N.PUDUR"
"89     SALEM              SALEM            KADAYAMPATTI           ONDIVEERANUR"
"90     SALEM              SALEM            OMALAUR                SARAKKAPILLAIYUR"
"91     SALEM              SALEM            OMALAUR                KARUPPUR"
"92     SALEM              SALEM            OMALAUR                PAGALPATTI"
"93     SALEM              SALEM            OMALAUR                THOLASAMPATTI"
"94     SALEM              SALEM            OMALAUR                VELLALAPATTI"
"95     SALEM              SALEM            SALEM                  KANNANKURICHI"
"96     SALEM              SALEM            SALEM                  VEDUKATHANPATTI"
"97     SALEM              SALEM            SALEM                  SARKARKOLLAPATTI"
"98     SALEM              SALEM            PANAMARATHUPATTI       PANAMARATHUPATTI"
"99     SALEM              SALEM            PANAMARATHUPATTI       MALLUR"
"100    SALEM              SALEM            PANAMARATHUPATTI       KONDALAMPATTI"
"101    SALEM              SALEM            VEERAPANDI             NAINAMPATTI"
"102    SALEM              SALEM            VEERAPANDI             ELAMPILLAI"
"103    SALEM              SALEM            VEERAPANDI             POOLAVARI"
"104    SALEM              SALEM            VEERAPANDI             VEERAPANDI"
"105    SALEM              SALEM            MAC DONALDS CHOULTRY   MAC DONALDS CHOULTRY"
"106    SALEM              SALEM            MAC DONALDS CHOULTRY   E.KATTUR"
"107    SALEM              SALEM            MAC DONALDS CHOULTRY   VAIGUNDAM"
"108    SALEM              SALEM            KONGANAPURAM           KONGANAPURAM"
"109    SALEM              SALEM            KONGANAPURAM           VELLALAPURAM"
"110    SALEM              SALEM            THARAMANGALAM          THARAMANGALAM"
"111    SALEM              SALEM            THARAMANGALAM          K.R.THOPPUR"
"112    SALEM              SALEM            THARAMANGALAM          SEDAPATTI"
"113    THANJAVUR          THANJAVUR        THIRUVAIYARU           NADUCAUVERY"
"114    THANJAVUR          THANJAVUR        THIRUVAIYARU           THIRUVALAMPOZHIL"
"115    THANJAVUR          THANJAVUR        THIRUVAIYARU           SENTHALLAI"
"116    THANJAVUR          THANJAVUR        PAPANASAM              KABISTHALAM"
"117    THANJAVUR          THANJAVUR        PAPANASAM              PANDARAVADAI"
"118    THANJAVUR          THANJAVUR        PAPANASAM              VEERAMANGUDI"
